Nome: CENTRO
Codigo Estacao: 431123901A
Latitude: -29.47
Longitude: -53.465
Altitude: -
Situacao: Operante
Data Inicial: 2024-04-30
Data Final: 2024-05-01
Periodicidade da Medicao: 20 Minutos

30/04/2024;02:40;0
30/04/2024;02:30;0
30/04/2024;02:20;0
30/04/2024;02:10;0
30/04/2024;02:00;0
30/04/2024;01:50;0
30/04/2024;01:40;0
30/04/2024;01:30;0
30/04/2024;01:20;0,4
30/04/2024;01:10;0
30/04/2024;01:00;0
30/04/2024;00:50;0,2
30/04/2024;00:40;0
30/04/2024;00:30;0;
30/04/2024;00:20;2,2
30/04/2024;00:10;0
30/04/2024;00:00;0,4
